Year,Country,fertility,life,population,child_mortality,gdp,region
1967,Albania,5.376,66.316,1976140,115.09,3359,Europe & Central Asia
1968,Albania,5.268,66.5,2029314,112.67,3475,Europe & Central Asia
1969,Albania,5.16,66.702,2082474,110.3,3587,Europe & Central Asia
1970,Albania,5.05,66.948,2135599,107.98,3712,Europe & Central Asia
1971,Albania,4.933,67.251,2188650,105.71,3849,Europe & Central Asia
1972,Albania,4.809,67.595,2241623,103.49,3988,Europe & Central Asia
1973,Albania,4.677,67.966,2294578,101.31,4174,Europe & Central Asia
1974,Albania,4.538,68.356,2347607,99.18,4177,Europe & Central Asia
1975,Albania,4.393,68.748,2400801,97.1,4178,Europe & Central Asia
1976,Albania,4.244,69.121,2454255,95.06,4182,Europe & Central Asia
1977,Albania,4.094,69.459,2508026,93.06,4188,Europe & Central Asia
1978,Albania,3.947,69.753,2562121,91.1,4194,Europe & Central Asia
1979,Albania,3.807,70.001,2616530,84.7,4201,Europe & Central Asia
1980,Albania,3.678,70.218,2671300,78.6,4218,Europe & Central Asia
1981,Albania,3.562,70.426,2725029,73,4227,Europe & Central Asia
1982,Albania,3.46,70.646,2777592,67.8,4237,Europe & Central Asia
1983,Albania,3.372,70.886,2831682,62.8,4248,Europe & Central Asia
1984,Albania,3.297,71.144,2891004,58.3,4259,Europe & Central Asia
1985,Albania,3.233,71.398,2957390,54.3,4267,Europe & Central Asia
1986,Albania,3.177,71.615,3033393,50.7,4281,Europe & Central Asia
1987,Albania,3.126,71.77,3116009,47.6,4294,Europe & Central Asia
1988,Albania,3.075,71.853,3194854,44.9,4307,Europe & Central Asia
1989,Albania,3.023,71.87,3255859,42.5,4325,Europe & Central Asia
1990,Albania,2.97,71.842,3289483,40.6,4350,Europe & Central Asia
1991,Albania,2.917,71.799,3291695,38.8,3081,Europe & Central Asia
1992,Albania,2.867,71.779,3266983,37.3,2877,Europe & Central Asia
1993,Albania,2.819,71.813,3224901,36,3172,Europe & Central Asia
1994,Albania,2.772,71.92,3179442,34.6,3457,Europe & Central Asia
1995,Albania,2.723,72.117,3141102,33.2,3941,Europe & Central Asia
1996,Albania,2.67,72.415,3112597,31.8,4326,Europe & Central Asia
1997,Albania,2.611,72.796,3091902,30.3,3909,Europe & Central Asia
1998,Albania,2.543,73.235,3079037,28.9,4434,Europe & Central Asia
1999,Albania,2.467,73.713,3072725,27.5,4912,Europe & Central Asia
2000,Albania,2.383,74.2,3071856,26.2,5305,Europe & Central Asia
2001,Albania,2.291,74.664,3077378,24.9,5730,Europe & Central Asia
2002,Albania,2.195,75.081,3089778,23.6,5913,Europe & Central Asia
2003,Albania,2.097,75.437,3106701,22.5,6274,Europe & Central Asia
2004,Albania,2.004,75.725,3124861,21.5,6672,Europe & Central Asia
2005,Albania,1.919,75.949,3141800,20.5,7075,Europe & Central Asia
2006,Albania,1.849,76.124,3156607,19.5,7476,Europe & Central Asia
2007,Albania,1.796,76.278,3169665,18.7,7977,Europe & Central Asia
2008,Albania,1.761,76.433,3181397,17.9,8644,Europe & Central Asia
2009,Albania,1.744,76.598,3192723,17.3,8994,Europe & Central Asia
2010,Albania,1.741,76.78,3204284,16.6,9374,Europe & Central Asia
2011,Albania,1.748,76.979,3215988,16,9640,Europe & Central Asia
2012,Albania,1.76,77.185,3227373,15.5,9811,Europe & Central Asia
2013,Albania,1.771,77.392,3238316,14.9,9961,Europe & Central Asia
1964,Algeria,7.653,47.953,11654905,247.3,5693,Middle East & North Africa
1965,Algeria,7.655,48.389,11923002,248.2,5916,Middle East & North Africa
1966,Algeria,7.657,48.806,12229853,248.9,5478,Middle East & North Africa
1967,Algeria,7.658,49.205,12572629,248.9,5811,Middle East & North Africa
1968,Algeria,7.657,49.592,12945462,248,6319,Middle East & North Africa
1969,Algeria,7.652,49.976,13338918,245.8,6747,Middle East & North Africa
1970,Algeria,7.641,50.366,13746185,242.2,7227,Middle East & North Africa
1971,Algeria,7.622,50.767,14165889,237.3,6427,Middle East & North Africa
1972,Algeria,7.591,51.195,14600659,230.9,7556,Middle East & North Africa
1973,Algeria,7.548,51.67,15052371,223.4,7581,Middle East & North Africa
1974,Algeria,7.492,52.213,15524137,214.9,7812,Middle East & North Africa
1975,Algeria,7.422,52.861,16018195,205.5,8119,Middle East & North Africa
1976,Algeria,7.339,53.656,16533323,195.7,8400,Middle East & North Africa
1977,Algeria,7.244,54.605,17068212,185.1,8888,Middle East & North Africa
1978,Algeria,7.138,55.697,17624756,173.9,9730,Middle East & North Africa
1979,Algeria,7.021,56.907,18205468,161.7,10293,Middle East & North Africa
1980,Algeria,6.889,58.198,18811199,148,10166,Middle East & North Africa
1981,Algeria,6.741,59.524,19442423,132.6,10160,Middle East & North Africa
1982,Algeria,6.576,60.826,20095648,115.9,10477,Middle East & North Africa
1983,Algeria,6.392,62.051,20762767,98.9,10696,Middle East & North Africa
1984,Algeria,6.192,63.16,21433070,83.6,10947,Middle East & North Africa
1985,Algeria,5.976,64.12,22098298,71.2,11030,Middle East & North Africa
1986,Algeria,5.747,64.911,22753511,61.9,10722,Middle East & North Africa
1987,Algeria,5.508,65.554,23398470,55.3,10378,Middle East & North Africa
1988,Algeria,5.263,66.072,24035237,51.2,9888,Middle East & North Africa
1989,Algeria,5.014,66.479,24668100,48.6,10115,Middle East & North Africa
1990,Algeria,4.761,66.796,25299182,46.9,10113,Middle East & North Africa
1991,Algeria,4.503,67.049,25930560,45.8,9748,Middle East & North Africa
1992,Algeria,4.238,67.265,26557969,45,9693,Middle East & North Africa
1993,Algeria,3.971,67.468,27169903,44.2,9279,Middle East & North Africa
1994,Algeria,3.705,67.674,27751086,43.5,9006,Middle East & North Africa
1995,Algeria,3.449,67.893,28291591,42.6,9168,Middle East & North Africa
1996,Algeria,3.207,68.123,28786855,41.8,9375,Middle East & North Africa
1997,Algeria,2.987,68.35,29242917,41.2,9322,Middle East & North Africa
1998,Algeria,2.794,68.565,29673694,40.7,9646,Middle East & North Africa
1999,Algeria,2.634,68.769,30099010,40.2,9810,Middle East & North Africa
2000,Algeria,2.514,68.963,30533827,39.7,9885,Middle East & North Africa
2001,Algeria,2.439,69.149,30982214,38.9,10203,Middle East & North Africa
2002,Algeria,2.407,69.33,31441848,37.8,10634,Middle East & North Africa
2003,Algeria,2.412,69.508,31913462,36.5,11251,Middle East & North Africa
2004,Algeria,2.448,69.682,32396048,35.1,11575,Middle East & North Africa
2005,Algeria,2.507,69.854,32888449,33.6,12077,Middle East & North Africa
2006,Algeria,2.58,70.02,33391954,32.1,12088,Middle East & North Africa
2007,Algeria,2.656,70.18,33906605,30.7,12289,Middle East & North Africa
2008,Algeria,2.725,70.332,34428028,29.5,12314,Middle East & North Africa
2009,Algeria,2.781,70.477,34950168,28.4,12285,Middle East & North Africa
2010,Algeria,2.817,70.615,35468208,27.4,12494,Middle East & North Africa
2011,Algeria,2.829,70.747,35980193,26.6,12606,Middle East & North Africa
2012,Algeria,2.82,70.874,36485828,25.8,12779,Middle East & North Africa
2013,Algeria,2.795,71,36983924,25.2,12893,Middle East & North Africa
1964,Angola,7.425,34.604,5337063,305.2,4573,Sub-Saharan Africa
1965,Angola,7.43,35.007,5431135,297.55,4840,Sub-Saharan Africa
1966,Angola,7.422,35.41,5524090,289.99,5043,Sub-Saharan Africa
1967,Angola,7.403,35.816,5617242,282.4,5253,Sub-Saharan Africa
1968,Angola,7.375,36.222,5713156,275.28,5093,Sub-Saharan Africa
1969,Angola,7.339,36.627,5815282,268.59,5158,Sub-Saharan Africa
1970,Angola,7.301,37.032,5926333,262.29,5397,Sub-Saharan Africa
1971,Angola,7.264,37.439,6047736,259.32,5614,Sub-Saharan Africa
1972,Angola,7.232,37.846,6179685,256.39,5511,Sub-Saharan Africa
1973,Angola,7.208,38.247,6322194,253.49,5831,Sub-Saharan Africa
1974,Angola,7.192,38.635,6474796,250.63,5880,Sub-Saharan Africa
1975,Angola,7.185,38.998,6637419,247.79,5454,Sub-Saharan Africa
1976,Angola,7.186,39.324,6808850,244.99,5044,Sub-Saharan Africa
1977,Angola,7.189,39.605,6989988,242.22,4956,Sub-Saharan Africa
1978,Angola,7.194,39.84,7185188,239.48,4572,Sub-Saharan Africa
1979,Angola,7.197,40.029,7400231,236.78,4458,Sub-Saharan Africa
1980,Angola,7.2,40.182,7638420,234.1,4443,Sub-Saharan Africa
1981,Angola,7.201,40.311,7903368,232.8,4110,Sub-Saharan Africa
1982,Angola,7.203,40.429,8191774,231.5,3970,Sub-Saharan Africa
1983,Angola,7.205,40.547,8491682,230.2,3996,Sub-Saharan Africa
1984,Angola,7.207,40.671,8786652,229.1,4099,Sub-Saharan Africa
1985,Angola,7.208,40.794,9065562,228.3,4117,Sub-Saharan Africa
1986,Angola,7.206,40.902,9322550,227.5,4135,Sub-Saharan Africa
1987,Angola,7.202,40.988,9562796,226.9,4319,Sub-Saharan Africa
1988,Angola,7.194,41.05,9799680,226.5,4455,Sub-Saharan Africa
1989,Angola,7.182,41.1,10052567,226.2,4365,Sub-Saharan Africa
1990,Angola,7.165,41.151,10335052,226,4232,Sub-Saharan Africa
1991,Angola,7.143,41.221,10653515,225.9,4056,Sub-Saharan Africa
1992,Angola,7.116,41.329,11002910,226,3656,Sub-Saharan Africa
1993,Angola,7.087,41.495,11371750,225.8,2663,Sub-Saharan Africa
1994,Angola,7.054,41.736,11742960,225.5,2669,Sub-Saharan Africa
1995,Angola,7.019,42.073,12105105,224.8,2859,Sub-Saharan Africa
1996,Angola,6.984,42.526,12452725,224,3091,Sub-Saharan Africa
1997,Angola,6.949,43.088,12792237,222.6,3246,Sub-Saharan Africa
1998,Angola,6.913,43.742,13138265,220.8,3376,Sub-Saharan Africa
1999,Angola,6.878,44.468,13511575,218.9,3389,Sub-Saharan Africa
2000,Angola,6.844,45.234,13926373,216.7,3387,Sub-Saharan Africa
2001,Angola,6.811,46.004,14388244,214.1,3417,Sub-Saharan Africa
2002,Angola,6.778,46.743,14890474,211.7,3759,Sub-Saharan Africa
2003,Angola,6.743,47.425,15419943,209.2,3819,Sub-Saharan Africa
2004,Angola,6.704,48.036,15957460,206.7,4087,Sub-Saharan Africa
2005,Angola,6.657,48.572,16489021,203.9,4667,Sub-Saharan Africa
2006,Angola,6.598,49.041,17010366,200.5,5445,Sub-Saharan Africa
2007,Angola,6.523,49.471,17525367,196.4,6453,Sub-Saharan Africa
2008,Angola,6.434,49.882,18037964,192,7103,Sub-Saharan Africa
2009,Angola,6.331,50.286,18555115,187.3,7039,Sub-Saharan Africa
2010,Angola,6.218,50.689,19081912,182.5,7047,Sub-Saharan Africa
2011,Angola,6.099,51.094,19618432,177.3,7094,Sub-Saharan Africa
2012,Angola,5.979,51.498,20162517,172.2,7230,Sub-Saharan Africa
2013,Angola,5.863,51.899,20714494,167.1,7488,Sub-Saharan Africa
1964,Antigua and Barbuda,4.25,63.775,58653,72.78,5008,America
1965,Antigua and Barbuda,4.193,64.149,59844,69.91,5133,America
1966,Antigua and Barbuda,4.125,64.511,61032,66.69,5262,America
1967,Antigua and Barbuda,4.042,64.865,62226,63.53,5393,America
1968,Antigua and Barbuda,3.942,65.213,63401,60.97,5528,America
1969,Antigua and Barbuda,3.824,65.558,64528,58.16,5666,America
1970,Antigua and Barbuda,3.684,65.898,65587,55.87,5807,America
1971,Antigua and Barbuda,3.517,66.232,66554,53.73,6088,America
1972,Antigua and Barbuda,3.328,66.558,67419,51.35,6378,America
1973,Antigua and Barbuda,3.122,66.875,68182,49.44,6770,America
1974,Antigua and Barbuda,2.908,67.181,68848,47.58,6888,America
1975,Antigua and Barbuda,2.701,67.479,69420,45.77,6458,America
1976,Antigua and Barbuda,2.514,67.768,69910,43.98,5885,America
1977,Antigua and Barbuda,2.358,68.051,70301,42.22,6371,America
1978,Antigua and Barbuda,2.239,68.328,70533,40.83,6691,America
1979,Antigua and Barbuda,2.159,68.602,70525,39.16,7536,America
1980,Antigua and Barbuda,2.115,68.873,70228,37.53,8169,America
1981,Antigua and Barbuda,2.098,69.141,69639,36.01,8689,America
1982,Antigua and Barbuda,2.096,69.408,68803,34.55,8827,America
1983,Antigua and Barbuda,2.098,69.671,67792,33.16,9540,America
1984,Antigua and Barbuda,2.098,69.931,66701,31.83,10388,America
1985,Antigua and Barbuda,2.092,70.186,65614,30.54,11383,America
1986,Antigua and Barbuda,2.082,70.435,64539,29.32,12600,America
1987,Antigua and Barbuda,2.07,70.675,63510,28.14,14027,America
1988,Antigua and Barbuda,2.062,70.907,62669,27.01,15441,America
1989,Antigua and Barbuda,2.058,71.132,62192,25.93,16611,America
1990,Antigua and Barbuda,2.061,71.351,62202,25.5,17154,America
1991,Antigua and Barbuda,2.073,71.568,62754,24.2,17361,America
1992,Antigua and Barbuda,2.096,71.783,63802,23.1,17226,America
1993,Antigua and Barbuda,2.128,72,65238,21.9,17753,America
1994,Antigua and Barbuda,2.166,72.219,66895,20.8,18400,America
1995,Antigua and Barbuda,2.208,72.441,68642,19.7,17167,America
1996,Antigua and Barbuda,2.248,72.664,70450,18.8,17830,America
1997,Antigua and Barbuda,2.281,72.888,72322,17.9,18186,America
1998,Antigua and Barbuda,2.304,73.11,74190,17,18483,America
1999,Antigua and Barbuda,2.316,73.329,75985,16.2,18780,America
2000,Antigua and Barbuda,2.316,73.544,77656,15.5,19319,America
2001,Antigua and Barbuda,2.305,73.755,79165,14.8,18388,America
2002,Antigua and Barbuda,2.288,73.96,80507,14.1,18676,America
2003,Antigua and Barbuda,2.268,74.16,81716,13.5,19566,America
2004,Antigua and Barbuda,2.246,74.355,82838,12.9,20395,America
2005,Antigua and Barbuda,2.224,74.544,83916,12.4,21414,America
2006,Antigua and Barbuda,2.203,74.729,84952,11.8,24016,America
2007,Antigua and Barbuda,2.183,74.91,85935,11.3,26008,America
2008,Antigua and Barbuda,2.164,75.087,86881,10.9,25736,America
2009,Antigua and Barbuda,2.146,75.263,87802,10.4,22389,America
2010,Antigua and Barbuda,2.13,75.437,88710,9.9,20567,America
2011,Antigua and Barbuda,2.115,75.61,89612,9.5,19988,America
2012,Antigua and Barbuda,2.102,75.783,90510,9.1,20577,America
2013,Antigua and Barbuda,2.089,75.954,91404,8.7,20353,America
1964,Argentina,3.068,65.388,21966478,57.43,8227,America
1965,Argentina,3.058,65.481,22296628,57.43,8818,America
1966,Argentina,3.051,65.603,22622012,58.63,8709,America
1967,Argentina,3.048,65.759,22944941,58.52,8782,America
1968,Argentina,3.049,65.953,23273148,58.32,9003,America
1969,Argentina,3.056,66.184,23616971,73.2,9610,America
1970,Argentina,3.073,66.449,23983358,72.4,9951,America
1971,Argentina,3.104,66.74,24376109,71.5,10167,America
1972,Argentina,3.148,67.044,24791983,70.4,10209,America
1973,Argentina,3.203,67.349,25222223,68.8,10419,America
1974,Argentina,3.264,67.652,25654154,66.6,10809,America
1975,Argentina,3.321,67.95,26078731,63.8,10571,America
1976,Argentina,3.366,68.248,26492716,60.2,10408,America
1977,Argentina,3.391,68.549,26899177,55.9,10918,America
1978,Argentina,3.391,68.856,27303001,51.4,10406,America
1979,Argentina,3.368,69.164,27711808,47,10976,America
1980,Argentina,3.325,69.464,28131040,43.1,10982,America
1981,Argentina,3.27,69.746,28561561,40,10221,America
1982,Argentina,3.213,70.004,29001060,37.6,9765,America
1983,Argentina,3.163,70.235,29447973,35.8,10030,America
1984,Argentina,3.123,70.439,29899743,34.4,10102,America
1985,Argentina,3.093,70.624,30354240,33.1,9262,America
1986,Argentina,3.073,70.798,30810984,31.9,9810,America
1987,Argentina,3.056,70.972,31269799,30.8,9936,America
1988,Argentina,3.037,71.156,31729130,29.7,9620,America
1989,Argentina,3.016,71.353,32187173,28.6,8820,America
1990,Argentina,2.989,71.566,32642442,27.6,8539,America
1991,Argentina,2.956,71.791,33093579,26.6,9333,America
1992,Argentina,2.918,72.024,33540023,25.7,10130,America
1993,Argentina,2.875,72.257,33982035,24.8,10602,America
1994,Argentina,2.827,72.489,34420352,24.1,11108,America
1995,Argentina,2.774,72.719,34855160,23.4,10673,America
1996,Argentina,2.717,72.945,35287113,22.7,11150,America
1997,Argentina,2.657,73.169,35714929,22,11935,America
1998,Argentina,2.596,73.39,36134642,21.4,12268,America
1999,Argentina,2.535,73.608,36541029,20.8,11722,America
2000,Argentina,2.477,73.822,36930709,20.2,11504,America
2001,Argentina,2.424,74.033,37302116,19.7,10875,America
2002,Argentina,2.379,74.24,37657340,19.2,9574,America
2003,Argentina,2.34,74.444,38001251,18.6,10318,America
2004,Argentina,2.31,74.645,38340778,17.9,11135,America
2005,Argentina,2.286,74.843,38681174,17.1,12039,America
2006,Argentina,2.268,75.036,39023850,16.4,12913,America
2007,Argentina,2.254,75.225,39368066,15.8,13873,America
2008,Argentina,2.241,75.41,39714298,15.4,14646,America
2009,Argentina,2.228,75.592,40062470,15,14605,America
2010,Argentina,2.215,75.772,40412376,14.6,15765,America
2011,Argentina,2.201,75.95,40764561,14.2,16972,America
2012,Argentina,2.188,76.128,41118986,13.8,17101,America
2013,Argentina,2.175,76.305,41473982,13.3,17629,America
1964,Armenia,4.161,67.714,2138133,66.85,2823,Europe & Central Asia
1965,Armenia,3.979,68.151,2204650,63.58,2945,Europe & Central Asia
1966,Armenia,3.788,68.587,2269475,60.86,3051,Europe & Central Asia
1967,Armenia,3.606,69.015,2332624,63.13,3151,Europe & Central Asia
1968,Armenia,3.447,69.425,2394635,65.49,3300,Europe & Central Asia
1969,Armenia,3.314,69.808,2456370,67.93,3313,Europe & Central Asia
1970,Armenia,3.208,70.143,2518408,70.47,3533,Europe & Central Asia
1971,Armenia,3.118,70.411,2580894,73.1,3589,Europe & Central Asia
1972,Armenia,3.032,70.604,2643464,75.83,3571,Europe & Central Asia
1973,Armenia,2.942,70.722,2705584,78.66,3832,Europe & Central Asia
1974,Armenia,2.846,70.774,2766495,81.59,3871,Europe & Central Asia
1975,Armenia,2.745,70.782,2825650,84.64,3810,Europe & Central Asia
1976,Armenia,2.646,70.782,2882831,87.8,3917,Europe & Central Asia
1977,Armenia,2.555,70.797,2938181,84.3,3937,Europe & Central Asia
1978,Armenia,2.479,70.837,2991954,81,3964,Europe & Central Asia
1979,Armenia,2.421,70.896,3044564,77.8,3877,Europe & Central Asia
1980,Armenia,2.385,70.936,3096298,74.8,3815,Europe & Central Asia
1981,Armenia,2.373,70.909,3145885,71.8,3783,Europe & Central Asia
1982,Armenia,2.381,70.775,3192877,69.1,3809,Europe & Central Asia
1983,Armenia,2.406,70.518,3239212,66.4,3862,Europe & Central Asia
1984,Armenia,2.441,70.149,3287588,63.8,3840,Europe & Central Asia
1985,Armenia,2.481,69.697,3339147,61.4,3805,Europe & Central Asia
1986,Armenia,2.519,69.204,3396511,59,3890,Europe & Central Asia
1987,Armenia,2.549,68.731,3457054,56.6,3872,Europe & Central Asia
1988,Armenia,2.566,68.331,3510439,81.6,3886,Europe & Central Asia
1989,Armenia,2.565,68.037,3542720,52,3889,Europe & Central Asia
1990,Armenia,2.538,67.877,3544695,49.7,3736,Europe & Central Asia
1991,Armenia,2.482,67.864,3512051,47.4,3329,Europe & Central Asia
1992,Armenia,2.399,67.979,3449940,45.1,1973,Europe & Central Asia
1993,Armenia,2.295,68.199,3370373,42.8,1842,Europe & Central Asia
1994,Armenia,2.176,68.513,3290540,40.6,1988,Europe & Central Asia
1995,Armenia,1.8,68.91,3223173,38.6,2169,Europe & Central Asia
1996,Armenia,1.8,69.376,3172185,36.7,2333,Europe & Central Asia
1997,Armenia,1.7,69.891,3134836,34.9,2438,Europe & Central Asia
1998,Armenia,1.5,70.43,3109101,33.2,2636,Europe & Central Asia
1999,Armenia,1.4,70.971,3090624,31.6,2740,Europe & Central Asia
2000,Armenia,1.3,71.494,3076098,30.1,2919,Europe & Central Asia
2001,Armenia,1.2,71.981,3065810,28.6,3214,Europe & Central Asia
2002,Armenia,1.2,72.43,3061067,27.2,3654,Europe & Central Asia
2003,Armenia,1.4,72.836,3060554,25.9,4182,Europe & Central Asia
2004,Armenia,1.4,73.192,3062612,24.6,4635,Europe & Central Asia
2005,Armenia,1.4,73.491,3065954,23.3,5297,Europe & Central Asia
2006,Armenia,1.3,73.73,3069844,22.2,6020,Europe & Central Asia
2007,Armenia,1.4,73.92,3074181,21.1,6877,Europe & Central Asia
2008,Armenia,1.4,74.07,3079087,20,7383,Europe & Central Asia
2009,Armenia,1.6,74.191,3084979,19,6358,Europe & Central Asia
2010,Armenia,1.55,74.291,3092072,18,6508,Europe & Central Asia
2011,Armenia,1.5,74.381,3100236,17.2,6812,Europe & Central Asia
2012,Armenia,1.739,74.469,3108972,16.3,7291,Europe & Central Asia
2013,Armenia,1.74,74.561,3117722,15.5,7527,Europe & Central Asia
1964,Aruba,4.059,67.113,57031,,5505,America
1965,Aruba,3.842,67.435,57362,,5642,America
1966,Aruba,3.625,67.762,57714,,5783,America
1967,Aruba,3.417,68.095,58052,,5927,America
1968,Aruba,3.226,68.436,58388,,6075,America
1969,Aruba,3.054,68.784,58725,,6227,America
1970,Aruba,2.908,69.14,59066,,6382,America
1971,Aruba,2.788,69.498,59439,,6904,America
1972,Aruba,2.691,69.851,59849,,7470,America
1973,Aruba,2.613,70.192,60238,,8084,America
1974,Aruba,2.552,70.519,60524,,8756,America
1975,Aruba,2.506,70.834,60654,,9493,America
1976,Aruba,2.472,71.14,60589,,10305,America
1977,Aruba,2.446,71.441,60366,,11197,America
1978,Aruba,2.425,71.737,60108,,12166,America
1979,Aruba,2.408,72.023,59980,,13194,America
1980,Aruba,2.392,72.294,60099,26.34,14273,America
1981,Aruba,2.377,72.539,60570,25.4,15377,America
1982,Aruba,2.364,72.752,61347,24.6,16508,America
1983,Aruba,2.353,72.929,62208,23.96,17725,America
1984,Aruba,2.342,73.071,62833,23.48,19124,America
1985,Aruba,2.332,73.181,63030,23.14,20789,America
1986,Aruba,2.32,73.262,62645,22.91,22827,America
1987,Aruba,2.307,73.325,61830,22.76,26876,America
1988,Aruba,2.291,73.378,61069,22.62,32328,America
1989,Aruba,2.272,73.425,61026,22.5,36284,America
1990,Aruba,2.249,73.468,62147,22.36,37014,America
1991,Aruba,2.221,73.509,64642,22.23,38310,America
1992,Aruba,2.187,73.544,68286,22.1,38238,America
1993,Aruba,2.149,73.573,72573,22,38477,America
1994,Aruba,2.108,73.598,76762,21.91,39318,America
1995,Aruba,2.064,73.622,80323,21.83,38602,America
1996,Aruba,2.021,73.645,83069,21.76,38003,America
1997,Aruba,1.979,73.669,85161,21.68,40312,America
1998,Aruba,1.94,73.697,86827,21.6,42565,America
1999,Aruba,1.905,73.734,88442,21.49,42564,America
2000,Aruba,1.874,73.783,90271,21.35,43703,America
2001,Aruba,1.848,73.852,92363,21.15,42445,America
2002,Aruba,1.825,73.94,94596,20.89,40288,America
2003,Aruba,1.805,74.048,96875,20.57,39246,America
2004,Aruba,1.786,74.175,99046,20.2,41057,America
2005,Aruba,1.769,74.316,100996,19.8,40737,America
2006,Aruba,1.754,74.467,102711,19.37,40209,America
2007,Aruba,1.739,74.621,104225,18.95,40558,America
2008,Aruba,1.726,74.772,105526,18.55,38594,America
2009,Aruba,1.713,74.919,106612,18.18,35573,America
2010,Aruba,1.701,75.059,107488,17.84,33288,America
2011,Aruba,1.69,75.193,108141,17.55,36016,America
2012,Aruba,1.681,75.324,108587,17.28,35419,America
2013,Aruba,1.673,75.455,108883,17.03,36083,America
1964,Australia,3.154,70.65,11122567,22.7,16098,East Asia & Pacific
1965,Australia,2.973,70.98,11359763,22.4,16601,East Asia & Pacific
1966,Australia,2.885,70.82,11617580,22.1,16756,East Asia & Pacific
1967,Australia,2.847,71.1,11892163,22,17570,East Asia & Pacific
1968,Australia,2.886,70.73,12175746,21.9,18261,East Asia & Pacific
1969,Australia,2.887,71.14,12457299,21.7,18949,East Asia & Pacific
1970,Australia,2.859,70.81,12728362,21.4,19719,East Asia & Pacific
1971,Australia,2.945,71.41,12987847,20.9,20176,East Asia & Pacific
1972,Australia,2.743,71.93,13236895,20.2,20385,East Asia & Pacific
1973,Australia,2.491,72.14,13472175,19.4,21185,East Asia & Pacific
1974,Australia,2.321,71.89,13690285,18.4,21383,East Asia & Pacific
1975,Australia,2.148,72.84,13889696,17.3,21708,East Asia & Pacific
1976,Australia,2.06,72.88,14067994,16.2,22372,East Asia & Pacific
